Flower,Species,Petal.Length
1,setosa,1.4
2,setosa,1.4
3,setosa,1.3
4,setosa,1.5
5,setosa,1.4
6,setosa,1.7
7,setosa,1.4
8,setosa,1.5
9,setosa,1.4
10,setosa,1.5
11,versicolor,4.7
12,versicolor,4.5
13,versicolor,4.9
14,versicolor,4
15,versicolor,4.6
16,versicolor,4.5
17,versicolor,4.7
18,versicolor,3.3
19,versicolor,4.6
20,versicolor,3.9
21,virginica,5.6
22,virginica,5.1
23,virginica,5.1
24,virginica,5.9
25,virginica,5.7
26,virginica,5.2
27,virginica,5
28,virginica,5.2
29,virginica,5.4
30,virginica,5.1